Title,Artist,ConstituentID,Nationality,Gender,Date,Classification,Department,ObjectID,URL,ThumbnailURL
"Ferdinandsbrücke Project, Vienna, Austria (Elevation, preliminary version)",Otto Wagner,6210,Austrian,Male,1896,Architecture,Architecture & Design,2,http://www.moma.org/collection/works/2,http://www.moma.org/media/W1siZiIsIjU5NDA1Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=137b8455b1ec6167
"City of Music, National Superior Conservatory of Music and Dance, Paris, France, View from interior courtyard",Christian de Portzamparc,7470,French,Male,1987,Architecture,Architecture & Design,3,http://www.moma.org/collection/works/3,http://www.moma.org/media/W1siZiIsIjk3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=55b65fa4368fe00a
"Villa near Vienna Project, Outside Vienna, Austria, Elevation",Emil Hoppe,7605,Austrian,Male,1903,Architecture,Architecture & Design,4,http://www.moma.org/collection/works/4,http://www.moma.org/media/W1siZiIsIjk4Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=fdcfca4db3acac1f
"Villa, project, outside Vienna, Austria, Exterior perspective",Emil Hoppe,7605,Austrian,Male,1903,Architecture,Architecture & Design,6,http://www.moma.org/collection/works/6,http://www.moma.org/media/W1siZiIsIjEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b21f3d10def77da9
"Memorial to the Six Million Jewish Martyrs, project, New York City, New York, Perspective of central pier",Louis I. Kahn,2964,American,Male,1968,Architecture,Architecture & Design,32,http://www.moma.org/collection/works/32,http://www.moma.org/media/W1siZiIsIjE3MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=84cc6597561b2de4
"Royal Hunting Tent, project, Exterior perspective",Marcel Kammerer,7607,Austrian,Male,1900,Architecture,Architecture & Design,34,http://www.moma.org/collection/works/34,http://www.moma.org/media/W1siZiIsIjIwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cfad4657585b97a
"House in Krems, project, Krems, Austria, Elevation",Otto Schönthal,7608,Austrian,Male,1905,Architecture,Architecture & Design,36,http://www.moma.org/collection/works/36,http://www.moma.org/media/W1siZiIsIjIzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ef193035b3a3aafd
"Imperial Post Office, Teschen, Austria (Elevation)",Otto Schönthal,7608,Austrian,Male,1906,Architecture,Architecture & Design,39,http://www.moma.org/collection/works/39,
"Concert Hall Project, Dresden, Germany (Interior perspective of preliminary scheme)",Hans Poelzig,8100,German,Male,1918,Architecture,Architecture & Design,76,http://www.moma.org/collection/works/76,http://www.moma.org/media/W1siZiIsIjE2NjgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=884382c17959ab44
"Earth-Cloud House, project",Raimund Abraham,47,American,Male,1970,Architecture,Architecture & Design,79,http://www.moma.org/collection/works/79,http://www.moma.org/media/W1siZiIsIjUyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c06ca87b3167c14
"House IV Project, Falls Village, Connecticut (Multiple axonometrics)",Peter Eisenman,6969,American,Male,1975,Architecture,Architecture & Design,81,http://www.moma.org/collection/works/81,http://www.moma.org/media/W1siZiIsIjIxMDA0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2be15a4cb57bc7d1
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",Rem Koolhaas,6956,Dutch,Male,1987,Architecture,Architecture & Design,82,http://www.moma.org/collection/works/82,http://www.moma.org/media/W1siZiIsIjYwMTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=9f81dbe662c2839d
"Villa dall'Ava, Paris (Saint-Cloud), France, Exterior perspective",Madelon Vriesendorp,6957,Dutch,Female,1987,Architecture,Architecture & Design,82,http://www.moma.org/collection/works/82,http://www.moma.org/media/W1siZiIsIjYwMTEyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=9f81dbe662c2839d
"Pedestrian City project, Hypostyle Courtyard (Structural details)",Roger C. Ferri,1863,American,Male,1979,Architecture,Architecture & Design,84,http://www.moma.org/collection/works/84,http://www.moma.org/media/W1siZiIsIjIxMDA0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c72670d20c61cbca
"Fargo-Moorhead Cultural Center Bridge, project, Fargo, North Dakota and Moorhead, Minnesota, South elevation",Michael Graves,2308,American,Male,1978,Architecture,Architecture & Design,92,http://www.moma.org/collection/works/92,http://www.moma.org/media/W1siZiIsIjYwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e7b80f6dd37f836
"Vacation House Project, Aspen, Colorado, Elevations, interior and exterior perspectives and plan",Michael Graves,2308,American,Male,1978,Architecture,Architecture & Design,94,http://www.moma.org/collection/works/94,http://www.moma.org/media/W1siZiIsIjYyOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1fc15dbd4c87f646
"French & Company, project, New York (Manhattan), New York, Facade study",Michael Graves,2308,American,Male,1978,Architecture,Architecture & Design,96,http://www.moma.org/collection/works/96,http://www.moma.org/media/W1siZiIsIjY0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=53611c85c177beee
"Vacation House, project, Aspen, Colorado, Fireplace",Michael Graves,2308,American,Male,1978,Architecture,Architecture & Design,98,http://www.moma.org/collection/works/98,http://www.moma.org/media/W1siZiIsIjY1OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=42b1a231ce0d7234
"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section",Aldo Rossi,7661,Italian,Male,1974,Architecture,Architecture & Design,100,http://www.moma.org/collection/works/100,http://www.moma.org/media/W1siZiIsIjY5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=826e6353fc75f53a
"Regional Administrative Center, project ""Trieste e una Donna."" , Trieste, Italy, Competition design: Elevation and section",Gianni Braghieri,8131,Italian,Male,1974,Architecture,Architecture & Design,100,http://www.moma.org/collection/works/100,http://www.moma.org/media/W1siZiIsIjY5MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=826e6353fc75f53a
"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",Erik Gunnar Asplund,27,Swedish,Male,1917,Architecture,Architecture & Design,107,http://www.moma.org/collection/works/107,http://www.moma.org/media/W1siZiIsIjc3OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0dd2f51679b4b278
"Skandia Cinema, Stockholm, Sweden, Elevation of front of auditorium",Erik Gunnar Asplund,27,Swedish,Male,1923,Architecture,Architecture & Design,119,http://www.moma.org/collection/works/119,http://www.moma.org/media/W1siZiIsIjg3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c926ff3a64e73ba
"Stockholm Exhibition, Stockholm, Sweden (Elevation of advertising tower)",Erik Gunnar Asplund,27,Swedish,Male,1930,Architecture,Architecture & Design,134,http://www.moma.org/collection/works/134,http://www.moma.org/media/W1siZiIsIjEwNDgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=6751f81fb3e3b915
"Law Courts Annex, Gothenburg, Sweden, Exterior elevation",Erik Gunnar Asplund,27,Swedish,Male,1936,Architecture,Architecture & Design,135,http://www.moma.org/collection/works/135,http://www.moma.org/media/W1siZiIsIjEwNjEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ab6918017e623eab
"Woodland Crematorium, Stockholm, Sweden, Second version: section and two exterior elevations",Erik Gunnar Asplund,27,Swedish,Male,1935,Architecture,Architecture & Design,137,http://www.moma.org/collection/works/137,http://www.moma.org/media/W1siZiIsIjExMjQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=dc1a888fb625f0e0
"Palais de la Découverte Project, Paris, France (Elevation)",Paul Nelson,8102,American,Male,1938,Architecture,Architecture & Design,151,http://www.moma.org/collection/works/151,http://www.moma.org/media/W1siZiIsIjEzMjMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=c2f58f88df833db6
"Palais de la Découverte Project, Paris, France (Elevation)",Frantz Jourdain,6703,French,Male,1938,Architecture,Architecture & Design,151,http://www.moma.org/collection/works/151,http://www.moma.org/media/W1siZiIsIjEzMjMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=c2f58f88df833db6
"Palais de la Découverte Project, Paris, France (Elevation)",Oscar Nitzchke,4312,American,Male,1938,Architecture,Architecture & Design,151,http://www.moma.org/collection/works/151,http://www.moma.org/media/W1siZiIsIjEzMjMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=c2f58f88df833db6
"Gymnasium-Bridge, project, New York City, New York, Perspective",Steven Holl,2702,American,Male,1977,Architecture,Architecture & Design,163,http://www.moma.org/collection/works/163,http://www.moma.org/media/W1siZiIsIjE1NjYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=cabfb640d2ebb99b
"Gymnasium-Bridge Project, New York, New York, Perspective",Steven Holl,2702,American,Male,1977,Architecture,Architecture & Design,164,http://www.moma.org/collection/works/164,http://www.moma.org/media/W1siZiIsIjE1ODMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=bc7fe358e7381950
"Library and Office Building of Salman Schocken, Jerusalem, Israel, Interior perspectives",Erich Mendelsohn,8219,American,Male,1935,Architecture,Architecture & Design,165,http://www.moma.org/collection/works/165,http://www.moma.org/media/W1siZiIsIjYwMTI3Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=1a4b5e2954ffd224
"Gymnasium Bridge, project, New York City, New York, Plan, site plan, and exterior perspective",Steven Holl,2702,American,Male,1977,Architecture,Architecture & Design,166,http://www.moma.org/collection/works/166,http://www.moma.org/media/W1siZiIsIjE1OTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=0e698caad68fd85e
Helium Bridge Project,Paolo Soleri,8101,American,Male,1958,Architecture,Architecture & Design,168,http://www.moma.org/collection/works/168,http://www.moma.org/media/W1siZiIsIjE2MDciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3450085f72bb8878
"Autonomous Artisans' House, project, Staten Island, New York, Perspective",Steven Holl,2702,American,Male,1980,Architecture,Architecture & Design,169,http://www.moma.org/collection/works/169,http://www.moma.org/media/W1siZiIsIjE2MTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4836ecc514f88492
"Berkowitz House, Martha's Vineyard, Massachusetts, Exterior perspective",Steven Holl,2702,American,Male,1985,Architecture,Architecture & Design,173,http://www.moma.org/collection/works/173,http://www.moma.org/media/W1siZiIsIjE2MzkiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3adaf48dfc990453
"Hadassah University Medical Center, Mount Scopus, Jerusalem, Perspectives",Erich Mendelsohn,8219,American,Male,1936,Architecture,Architecture & Design,174,http://www.moma.org/collection/works/174,http://www.moma.org/media/W1siZiIsIjIxMDIyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=957f2a1ca3763a44
"Porta Vittoria, project, Milan, Italy, View from court of four-sided pentagon, perspective, site plan",Steven Holl,2702,American,Male,1986,Architecture,Architecture & Design,175,http://www.moma.org/collection/works/175,
"Residence for Herbert Green, Studies for an Unfolded Modular House, Cherry Hill, Pennsylvania, Perspective",Paul Rudolph,5076,American,Male,1989,Architecture,Architecture & Design,189,http://www.moma.org/collection/works/189,http://www.moma.org/media/W1siZiIsIjE3NzMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=a3b883ca39d99b1e
"Finney Guest House Project, Siesta Key, Florida, Aerial perspective",Paul Rudolph,5076,American,Male,1949,Architecture,Architecture & Design,191,http://www.moma.org/collection/works/191,http://www.moma.org/media/W1siZiIsIjE3ODUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=52a7504dbee828dd
"Yale University, Art and Architecture Building, New Haven, Connecticut, Elevation",Paul Rudolph,5076,American,Male,1958,Architecture,Architecture & Design,193,http://www.moma.org/collection/works/193,http://www.moma.org/media/W1siZiIsIjE4MDAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=0e54cf2f46103a1d
Unidentified project (Perspective),Erich Mendelsohn,8219,American,Male,1935,Architecture,Architecture & Design,195,http://www.moma.org/collection/works/195,
"Hadassah University Hospital, Mount Scopus, Jerusalem, Exterior perspective of northwest corner from University Building",Erich Mendelsohn,8219,American,Male,1935,Architecture,Architecture & Design,197,http://www.moma.org/collection/works/197,http://www.moma.org/media/W1siZiIsIjE4MzEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9c064cdc382a96b5
"Arcadia Peninsula Housing, project, Revised version: exterior elevation",Peter Cook,6950,British,Male,1979,Architecture,Architecture & Design,200,http://www.moma.org/collection/works/200,http://www.moma.org/media/W1siZiIsIjE5MTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=51390bf833c95a9b
"Slow House Project, North Haven, New York, Plan of lower-level and sections",Elizabeth Diller,6951,American,Female,1989,Architecture,Architecture & Design,201,http://www.moma.org/collection/works/201,http://www.moma.org/media/W1siZiIsIjE5MjQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=5aec1fba71220ffe
"Slow House Project, North Haven, New York, Plan of lower-level and sections",Ricardo Scofidio,6952,American,Male,1989,Architecture,Architecture & Design,201,http://www.moma.org/collection/works/201,http://www.moma.org/media/W1siZiIsIjE5MjQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=5aec1fba71220ffe
"The Peak Project, Hong Kong, China (Exterior perspective)",Zaha Hadid,6953,British,Female,1991,Architecture,Architecture & Design,202,http://www.moma.org/collection/works/202,http://www.moma.org/media/W1siZiIsIjE5MzgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=dd26102a0662adf2
"Study for an Office Building, project, Tokyo, Japan, Exterior perspective",Fumihiko Maki,6954,Japanese,Male,1980,Architecture,Architecture & Design,203,http://www.moma.org/collection/works/203,http://www.moma.org/media/W1siZiIsIjE5NTciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=84aac4297b1ed343
"Egg of Columbus Circle project, New York, New York (Axonometric)",Rem Koolhaas,6956,Dutch,Male,1975,Architecture,Architecture & Design,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjE5NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f0368087652110d1
"Egg of Columbus Circle project, New York, New York (Axonometric)",Zoe Zenghelis,7559,British,Female,1975,Architecture,Architecture & Design,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjE5NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f0368087652110d1
"Egg of Columbus Circle project, New York, New York (Axonometric)",Elia Zenghelis,7558,British,Male,1975,Architecture,Architecture & Design,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjE5NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f0368087652110d1
"Egg of Columbus Circle project, New York, New York (Axonometric)",Madelon Vriesendorp,6957,Dutch,Female,1975,Architecture,Architecture & Design,204,http://www.moma.org/collection/works/204,http://www.moma.org/media/W1siZiIsIjE5NzYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f0368087652110d1
"Arch Oboler Guest House (Eleanor's Retreat), project, Malibu, California, Plan and elevation",Frank Lloyd Wright,6459,American,Male,1941,Architecture,Architecture & Design,205,http://www.moma.org/collection/works/205,http://www.moma.org/media/W1siZiIsIjE5OTEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=57c08d9ee84fa133
"Exhibition ""Mario Bellini: Designer."", The Museum of Modern Art, New York, 1987, Installation plan",Mario Bellini,451,Italian,Male,1987,Architecture,Architecture & Design,209,http://www.moma.org/collection/works/209,http://www.moma.org/media/W1siZiIsIjIxMTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=34c19148da35029c
"City Hall, project, North Canton, Ohio, Perspective sketch",Robert Venturi,6132,American,Male,1965,Architecture,Architecture & Design,210,http://www.moma.org/collection/works/210,http://www.moma.org/media/W1siZiIsIjIxMjgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=62d5e18053f62b75
"City Hall, project, North Canton, Ohio, Perspective sketch",John Rauch,8214,American,Male,1965,Architecture,Architecture & Design,210,http://www.moma.org/collection/works/210,http://www.moma.org/media/W1siZiIsIjIxMjgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=62d5e18053f62b75
"House, Northern Delaware, Preliminary study of west elevation",Robert Venturi,6132,American,Male,1978,Architecture,Architecture & Design,211,http://www.moma.org/collection/works/211,http://www.moma.org/media/W1siZiIsIjIxNDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=339eadb1ef174245
"House, Northern Delaware, Preliminary study of west elevation",John Rauch,8214,American,Male,1978,Architecture,Architecture & Design,211,http://www.moma.org/collection/works/211,http://www.moma.org/media/W1siZiIsIjIxNDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=339eadb1ef174245
"House, Northern Delaware, Preliminary study of west elevation",Denise Scott Brown,8216,American,Female,1978,Architecture,Architecture & Design,211,http://www.moma.org/collection/works/211,http://www.moma.org/media/W1siZiIsIjIxNDIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=339eadb1ef174245
"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",Robert Venturi,6132,American,Male,1981,Architecture,Architecture & Design,212,http://www.moma.org/collection/works/212,http://www.moma.org/media/W1siZiIsIjIxNTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=89042945433620c4
"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",John Rauch,8214,American,Male,1981,Architecture,Architecture & Design,212,http://www.moma.org/collection/works/212,http://www.moma.org/media/W1siZiIsIjIxNTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=89042945433620c4
"Gordon Wu Hall, Princeton University, Princeton, New Jersey, Preliminary study of entrance and windows",Denise Scott Brown,8216,American,Female,1981,Architecture,Architecture & Design,212,http://www.moma.org/collection/works/212,http://www.moma.org/media/W1siZiIsIjIxNTQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=89042945433620c4
"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation",Robert Venturi,6132,American,Male,1983,Architecture,Architecture & Design,215,http://www.moma.org/collection/works/215,http://www.moma.org/media/W1siZiIsIjIxODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=63fce23f3fb75404
"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation",John Rauch,8214,American,Male,1983,Architecture,Architecture & Design,215,http://www.moma.org/collection/works/215,http://www.moma.org/media/W1siZiIsIjIxODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=63fce23f3fb75404
"Lewis Thomas Laboratory for Molecular Biology, Princeton University, Princeton, New Jersey, Preliminary study of entrance and elevation",Denise Scott Brown,8216,American,Female,1983,Architecture,Architecture & Design,215,http://www.moma.org/collection/works/215,http://www.moma.org/media/W1siZiIsIjIxODciXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=63fce23f3fb75404
"Center for Applied Computer Research, Las Promesas, Mexico, Site plan",Emilio Ambasz,141,Argentine,Male,1975,Architecture,Architecture & Design,219,http://www.moma.org/collection/works/219,http://www.moma.org/media/W1siZiIsIjIyODgiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ae2602e3367239e2
"Hospital: House of Hope, Houses of Birth, Houses of No Return, project, Venice, Italy, Sectional perspective",Raimund Abraham,47,American,Male,1979,Architecture,Architecture & Design,220,http://www.moma.org/collection/works/220,http://www.moma.org/media/W1siZiIsIjIyOTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=64b4f339371846e5
"Church on the Water, Tomamu, Hokkaido, Japan (Elevation and plan)",Tadao Ando,7055,Japanese,Male,1985,Architecture,Architecture & Design,221,http://www.moma.org/collection/works/221,
"Chikatsu-Asuka Historical Museum, Minami-Kawachi, Osaka, Japan, Exterior perspective",Tadao Ando,7055,Japanese,Male,1989,Architecture,Architecture & Design,224,http://www.moma.org/collection/works/224,http://www.moma.org/media/W1siZiIsIjI0MjEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=fc83f94557c1d11e
"Nara Convention Hall, Nara, Japan, Exterior perspective",Arata Isozaki,2837,Japanese,Male,1992,Architecture,Architecture & Design,225,http://www.moma.org/collection/works/225,http://www.moma.org/media/W1siZiIsIjI0NTMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=ff3731cb0486d013
Contra-Construction Project (Axonometric),Theo van Doesburg,6076,Dutch,Male,1923,Architecture,Architecture & Design,232,http://www.moma.org/collection/works/232,http://www.moma.org/media/W1siZiIsIjE2MjY1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ec2fd60c9054871
Contra-Construction Project (Axonometric),Cornelis van Eesteren,8112,Dutch,Male,1923,Architecture,Architecture & Design,232,http://www.moma.org/collection/works/232,http://www.moma.org/media/W1siZiIsIjE2MjY1OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3ec2fd60c9054871
"American System-Built Houses for The Richards Company, project, Milwaukee, Wisconsin, Perspectives, plans, and elevations",Frank Lloyd Wright,6459,American,Male,1915,Architecture,Architecture & Design,241,,
American System-Built Houses for The Richards Company project (Exterior perspective of model D101),Frank Lloyd Wright,6459,American,Male,1915,Architecture,Architecture & Design,242,http://www.moma.org/collection/works/242,http://www.moma.org/media/W1siZiIsIjI2NDUiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=9c818166b4aae25c
American System-Built Houses for The Richards Company project (Exterior perspective of model E3),Frank Lloyd Wright,6459,American,Male,1915,Architecture,Architecture & Design,243,http://www.moma.org/collection/works/243,http://www.moma.org/media/W1siZiIsIjI2NDYiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=876fcf75567b5b5d
"American System-Built Houses for The Richards Company project, (Plan oblique of unspecified model)",Frank Lloyd Wright,6459,American,Male,1915,Architecture,Architecture & Design,247,http://www.moma.org/collection/works/247,http://www.moma.org/media/W1siZiIsIjI2NTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=f10223e7c92596fe
American System-Built Houses for The Richards Company project (Perspective of model A221),Frank Lloyd Wright,6459,American,Male,1915,Architecture,Architecture & Design,248,http://www.moma.org/collection/works/248,http://www.moma.org/media/W1siZiIsIjI2NTEiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=c609c987ff950e20
American System-Built Houses for The Richards Company project (Exterior perspective of model B23),Frank Lloyd Wright,6459,American,Male,1915,Architecture,Architecture & Design,250,http://www.moma.org/collection/works/250,http://www.moma.org/media/W1siZiIsIjI2NTMiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=4d2ecbddcce1eb58
"Ibirapuera Park project, São Paulo, Brazil (Site plan)",Roberto Burle Marx,6934,Brazilian,Male,1953,Architecture,Architecture & Design,252,http://www.moma.org/collection/works/252,http://www.moma.org/media/W1siZiIsIjI4NDc1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d00103acc404dd06
