Title,Artist,ConstituentID,Nationality,Gender,Date,Classification,Department,ObjectID,URL,ThumbnailURL
"After an Eruption of Mount St. Helens, Vancouver, Washington",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82418,http://www.moma.org/collection/works/82418,http://www.moma.org/media/W1siZiIsIjM3NDYxNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c96e7aea7de49ca0
"Administration Building, Ron Bacardí y Compañía, S.A., Del Cedro, Mexico City, Mexico",Ludwig Mies van der Rohe,7166,American,Male,1958,Architecture,Architecture & Design,82419,http://www.moma.org/collection/works/82419,
"Pendleton, Oregon",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82420,http://www.moma.org/collection/works/82420,http://www.moma.org/media/W1siZiIsIjM4NDE5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c90eecf54a2afc20
"Swift River, White Mountain National Forest, New Hampshire",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82421,http://www.moma.org/collection/works/82421,http://www.moma.org/media/W1siZiIsIjM3NDYxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=597f2327f55c6173
"Little Talbot Beach, Florida",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82422,http://www.moma.org/collection/works/82422,http://www.moma.org/media/W1siZiIsIjM3NDYxNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=54e366c5b10fda91
"Georg Schaefer Museum project, Schweinfurt, Germany (Early scheme, scale model: 1:50)",Ludwig Mies van der Rohe,7166,American,Male,1960,Architecture,Architecture & Design,82423,http://www.moma.org/collection/works/82423,http://www.moma.org/media/W1siZiIsIjE1NjEyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=342c090e63a55bb9
"Roadside Rest Area, White Sands, New Mexico",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82424,http://www.moma.org/collection/works/82424,http://www.moma.org/media/W1siZiIsIjM3NDYxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7749167c69565327
"Home Federal Savings and Loan Association, Des Moines, Iowa (First scheme)",Ludwig Mies van der Rohe,7166,American,Male,1959,Architecture,Architecture & Design,82425,http://www.moma.org/collection/works/82425,
"U.S.S. Alabama, Mobile, Alabama",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82426,http://www.moma.org/collection/works/82426,http://www.moma.org/media/W1siZiIsIjM4NDE5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=86c275734eecfe6c
"Wet 'n Wild Aquatic Theme Park, Orlando, Florida",Joel Sternfeld,5656,American,Male,1980,Photograph,Photography,82428,http://www.moma.org/collection/works/82428,http://www.moma.org/media/W1siZiIsIjM4NDE5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e4f2c8d4a2144057
